ch12	FIGURE NEEDED: solution Figure 1 — the C II	2017_TH_T9-s1.pdf
ch12	FIGURE NEEDED: solution sketch — jet geomet	2025_TH_T05-s1.pdf
ch12	FIGURE NEEDED: solution plot of beta = 1/(sin	2025_TH_T05-s2.pdf
ch12	FIGURE NEEDED: annotated crop of the galaxy s	2011_DA_D2-s1.pdf
ch12	FIGURE NEEDED: example hand-drawn graph D3.1 	2016_DA_D3-s1.pdf
ch12	FIGURE NEEDED: example hand-drawn graph D3.3 	2016_DA_D3-s2.pdf
ch12	FIGURE NEEDED: example hand-drawn V-band PL p	2017_DA_D1-s1.pdf
ch12	FIGURE NEEDED: example hand-drawn K-band PL p	2017_DA_D1-s2.pdf
ch12	FIGURE NEEDED: example hand-drawn Wesenheit W	2017_DA_D1-s3.pdf
ch12	FIGURE NEEDED: Figure 1 -- AB magnitude of CR	2018_DA_D1-s1.pdf
ch12	FIGURE NEEDED: Figure 2 -- IRX vs beta diagra	2018_DA_D1-s2.pdf
ch12	FIGURE NEEDED: Figure 3 -- A_1600 vs beta dia	2018_DA_D1-s3.pdf
