ch05	% FIGURE NEEDED: chart of the Hyades region w	2007_OBS-SKY_2-s1.pdf
ch05	% FIGURE NEEDED: empty square answer frame la	2007_OBS-SKY_2-s2.pdf
ch05	% FIGURE NEEDED: star chart 1 — NGC 6231 fiel	2012_OBS-TEL_1-s1.pdf
ch05	% FIGURE NEEDED: Chart 1 from the answer shee	2015_OBS-TEL_1-s1.pdf
ch05	% FIGURE NEEDED: answer-sheet image of the te	NOTE:M45 answersheet image not in available sources
ch05	% FIGURE NEEDED: photograph of the full Moon 	2016_OBS-TEL_OT3-s1.pdf
ch05	% FIGURE NEEDED: star chart with the starting	2017_OBS-TEL_1-s1.pdf
ch05	% FIGURE NEEDED: answer boxes -- large circle	2019_OBS-TEL_2-s1.pdf
ch05	% FIGURE NEEDED: answer-sheet star chart of p	2019_OBS-TEL_3-s1.pdf
ch05	% FIGURE NEEDED: two finder charts of Cygnus 	NOTE:AF Cyg finder charts not in source PDFs
ch05	% FIGURE NEEDED: stellar chart of constellati	NOTE:UMi chart not in source PDFs
ch05	% FIGURE NEEDED: Map no. 1 -- star chart of t	2023_OBS-TEL_1-s1.pdf
ch05	% FIGURE NEEDED: moon position chart (the num	2023_OBS-TEL_1-s2.pdf
ch05	% FIGURE NEEDED: Map no. 2 -- star chart of t	2023_OBS-TEL_1-s3.pdf
ch05	% FIGURE NEEDED: sky map "Map-OT01" (stars on	2025_OBS-TEL_OT01-s1.pdf
ch05	% FIGURE NEEDED: two-panel figure -- left: ga	2025_OBS-TEL_OT02-s1.pdf
ch05	% FIGURE NEEDED: ray diagram -- two distant o	2007_TH_1.13-s1.pdf
ch05	% FIGURE NEEDED: spherical triangle with pole	2008_TH_S10-s1.pdf
ch05	% FIGURE NEEDED: celestial sphere with the de	2009_TH_P7-s1.pdf
ch05	% FIGURE NEEDED: Earth and Moon on a line inc	2012_TH_S12-s1.pdf
ch05	% FIGURE NEEDED: thin triangle with the star-	2013_TH_S2-s1.pdf
ch05	% FIGURE NEEDED: ray diagram (Fig. 12) -- inc	2014_TH_P12-s1.pdf
ch05	% FIGURE NEEDED: lens aperture circle (Fig. 1	2014_TH_P12-s2.pdf
ch05	% FIGURE NEEDED: (i) stellar disc of radius R	2016_TH_T12-s1.pdf
ch05	% FIGURE NEEDED: five schematic transit light	2016_TH_T12-s2.pdf
ch05	% FIGURE NEEDED: schematic transit light curv	2016_TH_T12-s3.pdf
