ch01	FIGURE NEEDED: triangle formed by the celesti	2024_TH_T7-s2.pdf
ch01	FIGURE NEEDED: photograph of the waning gibbo	2007_DA_D2-s1.pdf
ch01	FIGURE NEEDED: marked answer sky map, 2011_PL	2011_OBS-PLAN_1-s2.pdf
ch01	FIGURE NEEDED: two worked meridian-plane diag	2011_OBS-PLAN_2-s1.pdf
ch01	FIGURE NEEDED: marked answer sky map, 2011_PL	2011_OBS-PLAN_1-s2.pdf
ch01	FIGURE NEEDED (optional): season time axis wi	2011_OBS-PLAN_2-s2.pdf
ch01	FIGURE NEEDED: marked answer chart, 2015_PLAN	2015_OBS-PLAN_1-s1.pdf
ch01	FIGURE NEEDED: marked answer chart, 2015_PLAN	2015_OBS-PLAN_2-s1.pdf
ch01	FIGURE NEEDED: transparent checking foil, 201	2019_OBS-PLAN_1-s1.pdf
ch01	FIGURE NEEDED: solution slides showing the pr	2024_OBS-PLAN_2-s1.pdf;2024_OBS-PLAN_2-s2.pdf
ch01	FIGURE NEEDED: solution slide showing the cir	2024_OBS-PLAN_2-s3.pdf
ch01	FIGURE NEEDED: Figure 2 -- Solution of Proble	2009_OBS-SKY_1-s1.pdf
ch01	FIGURE NEEDED: key chart with the five bright	2015_OBS-SKY_1-s1.pdf
ch01	FIGURE NEEDED: key chart with every Messier o	2015_OBS-SKY_1-s2.pdf
ch01	FIGURE NEEDED: key chart with the accepted co	2015_OBS-SKY_1-s3.pdf
ch01	FIGURE NEEDED: Figure 1 of the key: whole-sky	2018_OBS-SKY_O1-s1.pdf
ch01	FIGURE NEEDED: original sheet and corrected f	2022_OBS-SKY_O8-s1.pdf
ch01	FIGURE NEEDED: solution star chart with the 1	2024_OBS-SKY_1-s1.pdf
ch01	FIGURE NEEDED: solution chart with the cardin	2024_OBS-SKY_2-s1.pdf
ch01	FIGURE NEEDED: solution sky map with the hour	2024_OBS-SKY_3-s1.pdf
ch01	FIGURE NEEDED: solution overlay with objects 	2025_OBS-SKY_OM01-s1.pdf
ch01	FIGURE NEEDED: solution overlay with the plus	2025_OBS-SKY_OM01-s2.pdf
ch01	FIGURE NEEDED: solution overlay with the Ecli	2025_OBS-SKY_OM01-s3.pdf
ch01	FIGURE NEEDED: solution overlay with the Sun 	2025_OBS-SKY_OM01-s4.pdf
ch01	FIGURE NEEDED: solution overlay of Map-OM02 s	2025_OBS-SKY_OM02-s1.pdf
ch01	FIGURE NEEDED: question grid with the celesti	2025_OBS-SKY_OM03-s1.pdf
ch01	FIGURE NEEDED: solution grid drawing of Orion	2025_OBS-SKY_OM03-s2.pdf
